manip, variable, mean, se,min_score,max_score
approach,app_sen_ind,3.7,0.49,1,7
avoid,app_sen_ind,1.91,0.49,1,7
ctrl1,app_sen_ind,2.05,0.54,1,7
ctrl2,app_sen_ind,1.87,0.49,1,7
app_inf_ctrl,app_sen_ind,2.33,0.57,1,7
approach,att_asn,5.36,0.37,1,7
avoid,att_asn,5.48,0.37,1,7
ctrl1,att_asn,5.23,0.41,1,7
ctrl2,att_asn,4.29,0.37,1,7
app_inf_ctrl,att_asn,4.16,0.43,1,7
approach,att_unus,4.19,0.32,1,7
avoid,att_unus,4.06,0.32,1,7
ctrl1,att_unus,3.75,0.35,1,7
ctrl2,att_unus,3.67,0.32,1,7
app_inf_ctrl,att_unus,3.96,0.37,1,7
approach,gen_app_avo,4.17,0.41,1,7
avoid,gen_app_avo,4,0.45,1,7
ctrl1,gen_app_avo,4.2,0.45,1,7
ctrl2,gen_app_avo,3.55,0.41,1,7
app_inf_ctrl,gen_app_avo,3.72,0.47,1,7
approach,mood,4.04,0.31,1,7
avoid,mood,4.17,0.32,1,7
ctrl1,mood,4.1,0.35,1,7
ctrl2,mood,3.92,0.32,1,7
app_inf_ctrl,mood,4.11,0.36,1,7
approach,out_ctrl,4.43,0.41,1,7
avoid,out_ctrl,4.83,0.41,1,7
ctrl1,out_ctrl,4.6,0.45,1,7
ctrl2,out_ctrl,5.06,0.41,1,7
app_inf_ctrl,out_ctrl,4.56,0.48,1,7
approach,prod_eval,2.28,0.23,1,7
avoid,prod_eval,1.41,0.23,1,7
ctrl1,prod_eval,1.31,0.25,1,7
ctrl2,prod_eval,1.48,0.23,1,7
app_inf_ctrl,prod_eval,1.35,0.27,1,7
approach,task_invol,4.42,0.51,1,7
avoid,task_invol,4.5,0.51,1,7
ctrl1,task_invol,4.3,0.55,1,7
ctrl2,task_invol,3.67,0.51,1,7
app_inf_ctrl,task_invol,4.44,0.58,1,7
approach,wtp,1.49,0.31,0,100
avoid,wtp,0.33,0.3,0,100
ctrl1,wtp,0.19,0.33,0,100
ctrl2,wtp,0.85,0.31,0,100
app_inf_ctrl,wtp,0.96,0.35,0,100
